the	các
be	được
and	và
of	của
a	một
in	trong
to	đến
have	có
to	đến
it	nó
I	tôi
that	cái đó
for	cho
you	bạn
he	anh ta
with	với
on	trên
do	làm
say	Nói
this	điều này
they	họ
at	tại
but	nhưng
we	chúng tôi
his	của anh ấy
from	từ
that	cái đó
not	không phải
n't	không
by	bởi
she	chị ấy
or	hoặc là
as	như
what	gì
go	đi
their	họ
can	có thể
who	người nào
get	được
if	nếu
would	sẽ
her	cô ấy
all	tất cả các
my	tôi
make	chế tạo
about	trong khoảng
know	biết
will	sẽ
as	như
up	lên
one	một
time	thời gian
there	ở đó
year	năm
so	vì thế
think	suy nghĩ
when	khi nào
which	mà
them	họ
some	một số
me	tôi
people	những người
take	lấy
out	ngoài
into	vào
just	chỉ
see	xem
him	anh ta
your	của bạn
come	đến
could	có thể
now	hiện nay
than	hơn
like	như
other	khác
how	làm sao
then	sau đó
its	của nó
our	của chúng ta
two	hai
more	hơn
these	những
want	muốn
way	đường
look	nhìn
first	Đầu tiên
also	cũng thế
new	Mới
because	bởi vì
day	ngày
more	hơn
use	sử dụng
no	Không
man	Đàn ông
find	tìm thấy
here	đây
thing	Điều
give	đưa cho
many	nhiều
well	tốt
only	chỉ có
those	những, cái đó
tell	nói
one	một
very	rất
her	cô ấy
even	cũng
back	trở lại
any	bất kì
good	tốt
woman	đàn bà
through	xuyên qua
us	chúng tôi
life	đời sống
child	đứa trẻ
there	ở đó
work	công việc
down	xuống
may	Tháng Năm
after	sau
should	Nên
call	gọi
world	thế giới
over	kết thúc
school	trường học
still	vẫn
try	thử
in	trong
as	như
last	Cuối cùng
ask	hỏi
need	nhu cầu
too	quá
feel	cảm thấy
three	số ba
when	khi nào
state	tiểu bang
never	không bao giờ
become	trở nên
between	giữa
high	cao
really	có thật không
something	cái gì đó
most	phần lớn
another	khác
much	nhiều
family	gia đình
own	sở hữu
out	ngoài
leave	rời khỏi
put	đặt
old	cũ
while	trong khi
mean	nghĩa là
on	trên
keep	giữ
student	sinh viên
why	tại sao
let	để cho
great	tuyệt quá
same	tương tự
big	lớn
group	nhóm
begin	bắt đầu
seem	hình như
country	Quốc gia
help	Cứu giúp
talk	nói chuyện
where	Ở đâu
turn	xoay
problem	vấn đề
every	mỗi
start	khởi đầu
hand	tay
might	có thể
American	Người Mỹ
show	chỉ
part	phần
about	trong khoảng
against	chống lại
place	địa điểm
over	kết thúc
such	như là
again	lần nữa
few	vài
case	trường hợp
most	phần lớn
week	tuần
company	Công ty
where	Ở đâu
system	hệ thống
each	mỗi
right	đúng
program	chương trình
hear	Nghe
so	vì thế
question	câu hỏi
during	suốt trong
work	công việc
play	chơi
government	chính quyền
run	chạy
small	nhỏ bé
number	con số
off	tắt
always	luôn luôn
move	di chuyển
like	như
night	đêm
live	trực tiếp
Mr	Ông
point	điểm
believe	tin
hold	giữ
today	hôm nay
bring	mang đến
happen	xảy ra
next	kế tiếp
without	không có
before	trước
large	lớn
